latitude,longitude,latitude
44.60102,-92.69779,44.60102
47.97642,-89.68497,47.97642
46.91173,-94.72292,46.91173
46.33976,-93.26205,46.33976
46.97836,-93.27369,46.97836
47.84037,-93.48518,47.84037
48.20715,-94.55401,48.20715
46.04313,-96.49418,46.04313
46.40366,-95.60213,46.40366
48.43646,-95.73119,48.43646
48.97085,-97.2017,48.97085
47.29594,-96.73165,47.29594
44.93617,-96.4418,44.93617
47.86831,-96.91684,47.86831
46.87745,-96.11144,46.87745
46.41334,-95.05439,46.41334
45.76654,-94.23284,45.76654
43.51495,-91.88499,43.51495
47.21127,-92.48769,47.21127
48.29424,-92.97047,48.29424
47.77035,-96.00102,47.77035
44.28482,-91.98967,44.28482
44.08369,-95.11995,44.08369
44.15434,-94.03397,44.15434
44.36554,-93.96315,44.36554
44.57227,-93.8427,44.57227
45.87584,-93.66408,45.87584
45.98504,-92.94818,45.98504
48.78936,-95.05103,48.78936
44.54364,-93.62482,44.54364
43.90234,-92.4823,43.90234
44.4,-69.0,44.4
44.5352,-68.4205,44.5352
44.9167,-67.0,44.9167
44.05,-71.6667,44.05
42.8167,-71.65,42.8167
44.79849,-93.29016,44.79849
45.09621,-93.45002,45.09621
45.03843,-93.06251,45.03843
44.96796,-93.09065,44.96796
44.87517,-93.07298,44.87517
47.44509,-92.88758,47.44509
43.94569,-93.26788,43.94569
47.06749,-91.59307,47.06749
46.74854,-92.09998,46.74854
46.73409,-92.09713,46.73409
62.81667,-141.46666,62.81667
66.05945,-142.76944,66.05945
66.26667,-146.51666,66.26667
65.28333,-143.06667,65.28333
61.93583,-150.98584,61.93583
61.51833,-149.90778,61.51833
58.40667,-152.88638,58.40667
57.26778,-154.565,57.26778
56.99917,-153.54167,56.99917
66.59056,-144.34111,66.59056
65.01667,-148.58333,65.01667
64.06001,-141.92944,64.06001
57.72945,-153.93251,57.72945
62.13334,-142.08333,62.13334
61.53194,-144.43973,61.53194
65.34583,-155.93611,65.34583
64.77612,-141.16194,64.77612
64.83667,-147.615,64.83667
67.03333,-143.28334,67.03333
59.74583,-151.20833,59.74583
65.58584,-163.40805,65.58584
58.36222,-134.5711,58.36222
67.93333,-162.3,67.93333
62.14722,-144.92805,62.14722
63.89333,-152.31056,63.89333
61.32083,-142.58444,61.32083
63.64917,-151.63972,63.64917
66.16167,-148.03835,66.16167
60.04333,-151.66554,60.04333
68.07083,-158.70416,68.07083
66.83334,-154.33333,66.83334
60.19584,-154.31999,60.19584
65.92333,-145.03,65.92333
61.09167,-149.73055,61.09167
61.71611,-162.665,61.71611
64.68472,-153.94,64.68472
61.00083,-153.89583,61.00083
61.64667,-156.43333,61.64667
60.72778,-150.87222,60.72778
63.75333,-143.81667,63.75333
63.44,-153.35667,63.44
63.49028,-150.87138,63.49028
32.95722,-87.17056,32.95722
31.09444,-86.54861,31.09444
34.62416,-93.80611,34.62416
33.84167,-109.12222,33.84167
36.79445,-113.75667,36.79445
36.2,-112.06667,36.2
36.26805,-110.60833,36.26805
36.93056,-112.19972,36.93056
34.2075,-110.53361,34.2075
34.18417,-110.66361,34.18417
34.59639,-112.04806,34.59639
34.24972,-110.6725,34.24972
35.13667,-111.65667,35.13667
34.29805,-110.41917,34.29805
31.78056,-110.63472,31.78056
35.145,-111.675,35.145
39.82528,-109.97972,39.82528
33.81333,-109.97166,33.81333
35.84555,-113.055,35.84555
33.35028,-110.65195,33.35028
34.75,-113.3,34.75
34.105,-110.60555,34.105
34.5,-109.43333,34.5
36.70444,-112.58334,36.70444
32.95,-109.28333,32.95
34.78722,-114.56167,34.78722
34.39778,-110.56445,34.39778
33.61833,-110.42,33.61833
35.81028,-110.20694,35.81028
31.67528,-110.88,31.67528
32.9375,-110.49611,32.9375
36.56445,-111.97806,36.56445
34.11639,-112.30056,34.11639
36.69917,-113.20722,36.69917
34.58528,-112.50195,34.58528
34.22361,-110.3425,34.22361
34.23278,-110.20111,34.23278
34.16,-109.98,34.16
36.28556,-112.07861,36.28556
35.03361,-113.89249,35.03361
36.34722,-113.19889,36.34722
32.4,-110.27084,32.4
35.61472,-113.79389,35.61472
36.39,-113.15222,36.39
36.27222,-110.77945,36.27222
36.50722,-113.81612,36.50722
34.24306,-111.30278,34.24306
36.47055,-112.84139,36.47055
33.215,-110.715,33.215
33.58444,-109.53416,33.58444
31.91,-111.8975,31.91
34.16667,-112.73333,34.16667
34.19528,-112.14166,34.19528
33.26667,-109.36833,33.26667
35.7825,-113.79417,35.7825
36.58194,-113.73194,36.58194
35.22472,-114.37473,35.22472
34.55389,-111.84917,34.55389
36.7,-112.23,36.7
36.15417,-113.54166,36.15417
41.62778,-121.29833,41.62778
33.38139,-117.28555,33.38139
33.555,-116.67305,33.555
35.19194,-120.43166,35.19194
36.23,-121.49166,36.23
41.05194,-120.68611,41.05194
38.90556,-120.69722,38.90556
35.88417,-118.05167,35.88417
38.48833,-120.325,38.48833
33.54167,-117.59167,33.54167
37.13166,-122.17,37.13166
37.84306,-118.47778,37.84306
34.31944,-117.01305,34.31944
36.23556,-121.785,36.23556
39.93417,-120.55112,39.93417
40.59805,-121.08305,40.59805
38.24667,-119.21972,38.24667
37.82333,-120.09834,37.82333
40.48083,-120.11388,40.48083
32.72139,-116.46305,32.72139
35.09639,-119.77278,35.09639
36.41084,-118.80917,36.41084
40.00167,-120.91611,40.00167
36.15667,-117.85445,36.15667
39.69194,-120.02084,39.69194
37.69833,-120.28667,37.69833
36.34167,-118.8625,36.34167
40.28972,-121.08528,40.28972
