latitude,longitude,latitude
40.25,-85.4,40.25
42.11,-92.91,42.11
35.65,-95.37,35.65
41.45,-90.52,41.45
47.45,-115.68,47.45
46.43,-105.87,46.43
45.2,-123.13,45.2
45.13,-87.63,45.13
40.62,-83.07,40.62
24.73,-81.05,24.73
39.48,-88.28,39.48
44.13,-87.68,44.13
41.37,-91.15,41.37
38.32,-88.87,38.32
32.78,-98.07,32.78
30.05,-90.03,30.05
31.28,-102.5,31.28
37.7,-77.43,37.7
48.1,-105.58,48.1
42.47,-98.68,42.47
44.02,-117.02,44.02
34.05,-117.6,34.05
25.9,-80.28,25.9
42.98,-96.07,42.98
28.55,-81.33,28.55
43.97,-88.55,43.97
43.15,-90.68,43.15
47.9,-122.28,47.9
42.65,-77.05,42.65
26.93,-81.98,26.93
40.47,-81.42,40.47
37.13,-76.5,37.13
27.92,-82.68,27.92
26.17,-97.36,26.17
44.38,-100.28,44.38
46.9,-95.07,46.9
26.25,-80.12,26.25
39.32,-94.72,39.32
44.88,-93.22,44.88
41.15,-104.82,41.15
29.97,-95.35,29.97
28.43,-81.32,28.43
42.37,-71.02,42.37
36.2,-95.9,36.2
32.85,-96.85,32.85
40.6,-98.43,40.6
37.15,-94.5,37.15
32.52,-92.03,32.52
41.62,-98.95,41.62
46.9,-96.8,46.9
42.97,-83.75,42.97
45.55,-94.07,45.55
44.47,-73.15,44.47
30.07,-83.56,30.07
29.53,-98.47,29.53
32.12,-81.2,32.12
33.3,-104.53,33.3
43.73,-103.62,43.73
35.03,-79.5,35.03
32.65,-114.6,32.65
30.47,-88.53,30.47
46.27,-119.12,46.27
28.73,-96.25,28.73
42.67,-83.42,42.67
36.03,-119.07,36.03
39.62,-110.75,39.62
46.75,-117.12,46.75
34.71,-97.22,34.71
35.53,-97.65,35.53
42.12,-87.9,42.12
42.77,-87.8,42.77
32.68,-96.87,32.68
43.23,-123.35,43.23
41.02,-95.27,41.02
45.63,-89.47,45.63
28.08,-97.05,28.08
47.5,-122.22,47.5
36.37,-94.1,36.37
38.87,-98.82,38.87
26.53,-81.75,26.53
44.55,-95.08,44.55
43.83,-111.81,43.83
36.44,-77.71,36.44
43.78,-87.85,43.78
38.33,-75.52,38.33
47.68,-117.32,47.68
29.62,-95.65,29.62
44.77,-106.97,44.77
36.2,-94.48,36.2
45.78,-122.84,45.78
27.77,-82.63,27.77
43.17,-95.19,43.17
41.75,-89.67,41.75
27.4,-82.55,27.4
29.33,-98.47,29.33
44.85,-87.42,44.85
36.17,-97.08,36.17
41.56,-83.47,41.56
47.27,-122.58,47.27
33.2,-96.59,33.2
42.06,-104.15,42.06
32.72,-96.26,32.72
33.63,-116.17,33.63
45.55,-122.4,45.55
42.48,-114.48,42.48
33.45,-93.98,33.45
32.35,-95.4,32.35
36.73,-91.85,36.73
30.75,-95.58,30.75
38.37,-121.96,38.37
40.43,-109.52,40.43
41.45,-86.98,41.45
27.65,-80.42,27.65
45.63,-122.65,45.63
41.35,-89.15,41.35
43.97,-107.95,43.97
42.23,-83.53,42.23
39.95,-81.9,39.95
27.97,-82.53,27.97
38.28,-104.52,38.28
36.76,-104.5,36.76
65.99,-161.12,65.99
61.42,-148.48,61.42
62.77,-164.5,62.77
56.97,-133.95,56.97
67.1,-157.85,67.1
63.77,-171.73,63.77
55.2,-131.17,55.2
68.13,-151.73,68.13
59.43,-146.33,59.43
63.9,-152.27,63.9
55.08,-131.35,55.08
61.58,-159.53,61.58
62.65,-159.82,62.65
58.12,-135.45,58.12
56.82,-132.97,56.82
63.68,-170.5,63.68
55.32,-160.52,55.32
66.27,-166.05,66.27
66.62,-160.0,66.62
62.07,-163.3,62.07
60.48,-151.03,60.48
59.05,-160.4,59.05
63.88,-160.8,63.88
61.13,-146.25,61.13
60.7,-160.03,60.7
58.7,-156.98,58.7
40.33,-75.12,40.33
36.0,-89.4,36.0
42.9,-72.27,42.9
39.65,-106.92,39.65
40.73,-114.03,40.73
29.98,-99.08,29.98
44.12,-123.22,44.12
43.63,-116.63,43.63
38.05,-87.53,38.05
38.05,-97.28,38.05
35.07,-77.05,35.07
37.77,-90.43,37.77
41.05,-78.41,41.05
41.38,-79.87,41.38
40.45,-105.02,40.45
42.55,-94.18,42.55
43.65,-94.42,43.65
43.3,-76.39,43.3
33.97,-86.08,33.97
38.35,-98.87,38.35
37.93,-100.72,37.93
47.13,-104.8,47.13
38.68,-75.37,38.68
30.4,-89.07,30.4
33.45,-88.58,33.45
44.63,-90.18,44.63
41.51,-74.27,41.51
39.37,-75.07,39.37
39.12,-94.6,39.12
44.22,-93.92,44.22
44.45,-95.82,44.45
48.27,-101.28,48.27
30.37,-104.02,30.37
36.58,-121.85,36.58
41.7,-74.8,41.7
44.53,-72.61,44.53
34.83,-77.62,34.83
29.17,-82.22,29.17
31.58,-94.72,31.58
41.12,-101.76,41.12
46.97,-122.9,46.97
31.42,-110.85,31.42
41.45,-97.33,41.45
43.65,-95.58,43.65
43.42,-124.25,43.42
41.48,-73.13,41.48
31.47,-89.33,31.47
45.57,-84.8,45.57
40.92,-88.63,40.92
46.68,-68.05,46.68
33.63,-95.45,33.63
42.44,-73.3,42.44
40.25,-75.56,40.25
40.22,-111.72,40.22
31.49,-97.3,31.49
47.5,-122.75,47.5
30.68,-97.68,30.68
38.53,-106.93,38.53
40.43,-104.63,40.43
40.48,-107.22,40.48
31.62,-91.3,31.62
37.67,-122.12,37.67
29.9,-97.87,29.9
38.85,-99.27,38.85
39.77,-90.24,39.77
31.08,-97.68,31.08
45.82,-88.12,45.82
36.13,-80.22,36.13
41.25,-76.92,41.25
44.36,-89.84,44.36
43.98,-70.95,43.98
43.6,-110.73,43.6
41.52,-88.18,41.52
40.32,-78.83,40.32
46.12,-122.9,46.12
40.42,-86.93,40.42
37.05,-100.97,37.05
34.6,-78.95,34.6
43.57,-71.42,43.57
44.05,-70.28,44.05
30.2,-91.98,30.2
45.28,-118.0,45.28
42.17,-120.4,42.17
39.02,-95.22,39.02
42.72,-71.12,42.72
47.05,-109.47,47.05
40.8,-99.76,40.8
37.78,-89.25,37.78
39.95,-74.84,39.95
43.35,-72.52,43.35
40.02,-82.47,40.02
37.5,-105.17,37.5
37.16,-97.03,37.16
44.53,-69.68,44.53
39.02,-74.92,39.02
42.92,-97.38,42.92
40.15,-122.25,40.15
40.38,-75.97,40.38
44.07,-69.1,44.07
41.6,-109.07,41.6
43.92,-92.5,43.92
43.53,-72.95,43.53
41.8,-107.2,41.8
47.7,-104.2,47.7
38.93,-90.41,38.93
43.4,-70.72,43.4
41.92,-71.5,41.92
29.97,-81.33,29.97
34.6,-91.57,34.6
37.08,-113.6,37.08
34.52,-109.38,34.52
36.45,-105.67,36.45
45.12,-113.88,45.12
35.36,-96.94,35.36
41.1,-102.98,41.1
35.23,-79.4,35.23
39.85,-89.67,39.85
42.4,-96.38,42.4
31.15,-97.4,31.15
41.77,-96.17,41.77
35.93,-95.0,35.93
48.07,-96.18,48.07
34.3,-79.87,34.3
39.95,-91.2,39.95
34.98,-81.05,34.98
39.9,-84.2,39.9
42.23,-83.33,42.23
58.68,-155.32,58.68
59.05,-158.52,59.05
53.9,-166.55,53.9
64.55,-163.05,64.55
35.82,-83.98,35.82
30.53,-91.15,30.53
32.7,-83.65,32.7
36.48,-82.4,36.48
44.27,-71.3,44.27
32.32,-90.08,32.32
20.9,-156.43,20.9
37.67,-95.48,37.67
48.12,-98.92,48.12
40.73,-99.0,40.73
47.22,-93.52,47.22
39.13,-96.67,39.13
38.67,-90.65,38.67
38.43,-113.02,38.43
36.45,-103.15,36.45
38.82,-92.22,38.82
41.98,-97.43,41.98
42.21,-71.11,42.21
44.42,-72.02,44.42
39.43,-83.8,39.43
41.7,-86.32,41.7
39.45,-74.57,39.45
41.17,-73.13,41.17
41.0,-85.2,41.0
38.82,-104.72,38.82
37.93,-75.48,37.93
36.08,-79.95,36.08
42.93,-78.73,42.93
43.12,-77.67,43.12
46.87,-68.02,46.87
34.27,-88.77,34.27
38.05,-84.6,38.05
41.87,-103.6,41.87
41.53,-93.65,41.53
40.67,-89.68,40.67
45.07,-83.57,45.07
42.27,-71.88,42.27
37.5,-77.33,37.5
37.32,-79.97,37.32
58.42,-135.73,58.42
59.25,-135.52,59.25
61.53,-166.15,61.53
65.7,-155.62,65.7
58.42,-156.63,58.42
63.73,-148.92,63.73
56.32,-158.36,56.32
56.94,-154.18,56.94
60.37,-166.27,60.37
56.95,-158.62,56.95
68.35,-166.8,68.35
68.12,-145.57,68.12
61.72,-156.85,61.72
56.48,-132.37,56.48
39.87,-75.25,39.87
44.28,-85.42,44.28
42.75,-93.77,42.75
45.57,-93.27,45.57
34.22,-119.08,34.22
46.7,-92.5,46.7
43.28,-91.73,43.28
41.74,-83.66,41.74
47.4,-120.2,47.4
33.42,-112.38,33.42
42.68,-91.97,42.68
42.1,-83.15,42.1
41.89,-89.08,41.89
37.27,-104.33,37.27
42.42,-87.87,42.42
34.88,-82.22,34.88
39.18,-76.67,39.18
39.47,-76.17,39.47
39.73,-86.27,39.73
30.12,-93.22,30.12
34.3,-97.02,34.3
45.15,-93.22,45.15
47.84,-90.36,47.84
40.06,-105.59,40.06
41.18,-78.9,41.18
41.05,-91.98,41.05
40.9,-97.62,40.9
42.89,-90.21,42.89
45.56,-93.59,45.56
40.75,-95.42,40.75
40.08,-75.02,40.08
43.12,-76.12,43.12
38.37,-81.6,38.37
40.85,-96.75,40.85
41.01,-74.74,41.01
36.17,-84.23,36.17
36.99,-77.0,36.99
35.02,-105.65,35.02
37.33,-79.2,37.33
39.28,-76.61,39.28
42.2,-89.1,42.2
34.2,-118.35,34.2
66.82,-150.63,66.82
28.62,-80.72,28.62
34.5,-82.72,34.5
44.0,-76.02,44.0
42.47,-71.28,42.47
33.62,-114.72,33.62
41.78,-124.23,41.78
48.6,-112.37,48.6
40.22,-76.85,40.22
36.57,-79.33,36.57
46.8,-102.8,46.8
